STATE,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
Andhra Pradesh,26739,26255,18554,20687,21367,25722,35364,36224,32478,47583
Arunanchal Pradesh,1567,2050,1682,3706,2786,3802,6284,4210,6689,6903
Assam,4611,5207,6170,4920,8044,9906,14952,16671,26330,23151
Bihar,14740,17928,22128,28712,31537,33803,29759,20080,46032,41231
Chhattisgarh,7847,6582,7653,8976,10896,11370,10290,17318,14807,18623
Goa,1285,1346,1604,2064,2110,2918,3083,2698,4927,6915
Gujarat,28623,29462,29994,31017,31903,40642,45222,43661,37647,56568
Haryana,8440,7042,6914,22850,13654,17492,21841,25489,23150,23003
Himachal Pradesh,4540,3919,4424,4956,9061,7358,8230,8889,9875,9701
Jammu & Kashmir,6661,5925,6547,9023,10427,13662,11054,12013,40832,39502
Jharkhand,7002,6632,8247,17884,14191,16754,15132,14276,12186,15522
Karnataka,20308,21459,25011,25480,37505,44028,50229,49468,50230,58302
Kerala,8544,8884,8189,12417,16061,17086,18251,18451,20315,27162
Madhya Pradesh,20529,19894,29333,24854,37154,38240,40661,41162,43085,57447
Maharashtra,25466,31927,29492,33951,43713,43604,61711,63011,101665,104829
Manipur,1677,1454,1606,1686,1751,1827,2186,1822,4993,5854
Meghalaya,1124,1259,1377,1607,1735,1335,1903,1402,2830,3367
Mizoram,827,719,1052,1006,1251,2297,2153,1736,1792,1833
Nagaland,1593,1477,1324,1577,1588,1821,2238,1962,2708,3122
Odisha,9018,10513,14462,20308,21862,25674,28592,26030,30136,50433
Punjab,5049,6016,6603,12858,49761,9789,11509,30283,20202,33022
Rajasthan,17802,18591,21764,63547,34960,33631,37666,35590,34877,42167
Sikkim,919,1011,1094,857,984,1866,1714,1151,1778,2198
Tamil Nadu,24328,24368,28583,27902,54924,35677,45816,47506,60222,67846
Telangana,0,0,11583,21556,40253,34661,38239,34051,32645,61343
Tripura,1815,1876,3148,3657,3830,2085,1980,1599,2417,2651
Uttar Pradesh,32997,42573,64581,84983,88138,52666,89483,84519,94788,144540
Uttarakhand,5256,5307,5984,6297,6247,7712,8425,7671,10152,12264
West Bengal,13247,16716,19391,22624,23630,38954,45364,41790,36498,65291
NCT of Delhi,9199,11685,7431,8843,7961,7173,9304,11549,12785,17201
Puducherry,505,568,798,609,671,965,955,1089,1209,1200
All States and UTs,312257,338647,396724,531414,629955,584519,699591,703370,820280,1050773
